Word,Stemmed Word,Definitions,Part of Speech,Contexts,Synonyms,Antonyms,Derived Words,Hypernyms,Hyponyms,Meronyms,Holonyms,Sentiment_Score,Sentimental_Label
sekiranya,kira,"Definisi : kalau, kalau-kalau, seandai­nya: maafkan kami ~ kami mengganggu, jikalau ~ ada Hang Tuah hidup, adakah ampun duli tuanku akan dia? (Kamus Dewan Edisi Keempat), Definisi : kiranya, kalau: mereka asyik mengatur cara-cara mengawal keamanan sekiranya berlaku kecemasan, (Kamus Dewan Edisi Keempat), Definisi : kalau, seandainya: Mereka akan mogok ~ kerajaan menolak tuntutan mereka. (Kamus Pelajar Edisi Kedua)",kata nama,,"pendapat, taksiran, peduli",,"kiranya, sekiranya, kira-kira, berkira, berkira-kira, mengira, mengira-ngira, terkira, kiraan, perkiraan, pengiraan, pengira",,,,,0.0,Neutral
memang,memang,"[mé.mang]  | ميمڠ Definisi : (mémang) sesungguhnya, sebenar­nya, sewajarnya, sudah sepatutnya begitu: ~ benar perkataan engkau itu, Zahar ~ selalu datang ke rumahnya, dihitung dr segi agama suaminya ~ berhak beristeri lagi, sememangnya 1. sebenarnya, sesungguh­nya: kami ~ berharap utk sehidup semati, 2. sepatutnya, sewajarnya: ia ~ harus bersuka ria dlm keadaan serupa itu. (Kamus Dewan Edisi Keempat), [mé.mang]  | ميمڠ Definisi : /mémang/ sudah begitu halnya, sudah tentu: ~ benar kata guru itu. sememangnya sesungguhnya, sebenarnya: Budak itu ~ nakal. (Kamus Pelajar Edisi Kedua)",,,sungguh,,sememangnya,,,,,0.0,Neutral
menganalisis,,"[me.nga.na.li.sis]  | مڠاناليسيس Definisi : melakukan analisis ke atas sesuatu (bahan, data, dll): darah harus di­ambil drpd kedua-dua ibu bapa utk diana­lisis, bahkan buku tatabahasa yg ~ aturan bahasa pun masih menggunakannya secara tidak tetap, ~ teks yg digunakan sbg data, (Kamus Dewan Edisi Keempat), [me.nga.na.li.sis]  | مڠاناليسيس Definisi : 1 menghuraikan sesuatu perkara utk mengetahui selok-beloknya dll, mengkaji. 2 menceraikan sesuatu bahan kpd bahagian-bahagiannya dgn kaedah kimia. (Kamus Pelajar Edisi Kedua)",,,,,,"berubat, menggergaji, terpotong","menganut, merenung, menggurdi",,,-0.146457552909851,Negative
terlibat,libat,"[ter.li.bat]  | ترليبت Definisi : 1. terbebat, terbelit, terlipat, 2. termasuk (dlm sesuatu hal), terbabit: kalau perkara itu ada kaitan dgn kampungnya, dirinya turut ~ sama, (Kamus Dewan Edisi Keempat), [ter.li.bat]  | ترليبت Definisi : termasuk atau terbabit dlm sesuatu hal: Tengku Kudin telah ~ juga dlm peperangan itu. (Kamus Pelajar Edisi Kedua)",,,,,"melibat, melibatkan, terlibat","terjadi, beraksi, bertindak",jarak_dekat,,,0.0,Neutral
sasar,sasar,"[sa.sar]  | ساسر Definisi : setengah gila, kurang siuman, ~ bahasa gila bahasa. (Kamus Dewan Edisi Keempat), [sa.sar]  | ساسر Definisi : Jk, menyasar tidak mengikut arah yg sepatutnya, sesat, kesasar, tersasar terpesong (drpd arah atau landasan yg sewajarnya), tersesat (fikiran dll): oleh itu, yg salah harus dibetulkan, yg ~ hendaklah ditepatkan dan yg kurang perlu digenapkan, belut yg ~ di bawah permatang, anak ~ anak yg sudah rosak fikirannya. (Kamus Dewan Edisi Keempat), [sa.sar]  | ساسر Definisi : Jk, menyasar membidik, menghala, menuju, menyasarkan 1. menghalakan, menujukan, 2. menetapkan sasaran (hasil, perolehan dsb yg ingin dicapai): syarikat ~ jualan bagi kedua-dua unit amanah ini mencecah sehingga RM30 juta menjelang bulan Jun depan, negara kita ~ 14 pingat emas bagi acara olahraga di temasya Sukan SEA itu, sasaran 1. tujuan (menembak), bulan-bulan: ada yg menembak ~, ada yg bercatur, ada yg bersepak raga, 2. tujuan (serangan politik, marah, kritik, dll): Tijah sudah menjadi tempat ~ marah dan hamun, 3. hasil drpd sesuatu usaha, tindakan dsb yg ingin dicapai, matlamat: kami harus mencapai ~ kerja bulanan yg telah ditetapkan. (Kamus Dewan Edisi Keempat), [sa.sar]  | ساسر Definisi : , menyasar tidak mengikut arah yg betul, salah jalan, sesat. kesasar, tersasar tersalah jalan dll, tersesat. (Kamus Pelajar Edisi Kedua), [sa.sar]  | ساسر Definisi : , menyasar membidik, me­ne­nang, menuju. menyasarkan 1 menujukan, menghalakan. 2 mene­tapkan matlamat (hasil, perolehan dsb) yg hendak dicapai: Pihak pemasaran ~ jualan sebanyak 10,000 unit menjelang hujung tahun ini. sasaran 1 benda yg dituju ketika berlatih menembak dll, bulan-bulan. 2 sesuatu yg menjadi tujuan serangan (kritikan dll). 3 hasil atau perolehan yg ingin dicapai drpd sesuatu usaha: Mereka menetapkan ~ yg agak tinggi bagi projek itu. (Kamus Pelajar Edisi Kedua), [sa.sar]  | ساسر Definisi : tidak berapa siuman, agak gila. (Kamus Pelajar Edisi Kedua)",kata sifat,,setengah gila,,,,,,,0.0,Neutral
layak,layak,"[la.ya/]  | لايق Definisi : 1. padan, patut, sesuai: makanan spt itu hanya ~ utk anjing sahaja, maka barang siapa datang pd baginda, masing-masing pd ~nya diberikan oleh baginda, menurut punca-punca yg ~ dipercayai, 2. mempunyai kebolehan (sifat, kemampuan, dsb) yg ter­tentu atau yg sewajarnya (utk sesuatu), memenuhi syarat-syarat yg ditentukan (utk sesuatu), 3. laku, rupa: engkau hina aku spt mengusir seekor anjing yg berkurap ~nya, selayaknya sepatutnya, sepantasnya: ~lah Pak Sudin dilantik menjadi Ketua Kampung pula, melayakkan menjadikan layak, memadan­kan, menyesuaikan: hanya diri dan kaum kita sahaja yg mesti insaf sendiri dan ~ diri supaya boleh mencapai kemerdekaan yg halal, kelayakan kebolehan, kecekapan, kesanggup­an: tiap-tiap bahagian perkhidmatan itu berkehendakkan ~ atau kelulusan yg khas, berkelayakan mempunyai kelayakan, ber­kebolehan, cekap: seorang pegawai yg ~ dihantar utk memeriksa hal ehwal kewangan. (Kamus Dewan Edisi Keempat), [la.ya/]  | لايق Definisi : , ikan ~ ikan yg dibelah dr belakangnya dan dikeringkan, melayak membelah ikan utk dikeringkan. (Kamus Dewan Edisi Keempat), [la.ya/]  | لايق Definisi : , akar ~ sj tumbuhan (pokok me­manjat yg berteras), akar pisang-pisang jantan, Uvaria purpurea. (Kamus Dewan Edisi Keempat), [la.ya/]  | لايق Definisi : sesuai, patut, padan: Dia ~ menjadi ketua kerana dia cekap. melayakkan menjadikan layak, memadankan, menyesuaikan: Utk ~ kita menjawat jawatan yg lebih tinggi, kita mestilah belajar lagi. kelayakan kebolehan, kecekapan: ~ menjadi polis ialah lulus Sijil Pelajaran Malaysia, badan mesti sihat dan tinggi tidak kurang drpd lima kaki dua inci. berkelayakan mempunyai kebolehan atau kecekapan: Orang yg ~ saja yg diminta memohon. selayaknya sepatutnya, sepantasnya: Sudah ~ dia bertindak sekarang. (Kamus Pelajar Edisi Kedua)",kata sifat,,padan,,"selayaknya, melayakkan, kelayakan, berkelayakan","mencukupi, khasiat, membalas","kesamarataan, kuasa, keadilan",,,0.1390999257564544,Positive
pernah,,"[per.nah]  | ڤرنه Definisi : sudah ada mengalami (melakukan, melihat, merasai, dll), sudah berlaku: ia sudah ~ hidup susah sebelum menjadi kaya, belum (tidak) ~ belum sekalipun (berlaku, kedengar­an, mengalami, dll). (Kamus Dewan Edisi Keempat), [per.nah]  | ڤرنه Definisi : Jk kedudukan, tempat, pertalian kekeluargaan, ~ apa dia? apa pertaliannya denganmu?, ~ anak anak kepadaku (kepada­nya). (Kamus Dewan Edisi Keempat), [per.nah]  | ڤرنه Definisi : sudah ada mengalami (melakukan, melihat) sesuatu, sudah ada berlaku: Dia sendiri ~ meminta pertolongan drpd abangnya. (Kamus Pelajar Edisi Kedua)",,,,,,,,,,-0.2507760226726532,Negative
sembilan,,"[sem.bi.lan]  | سمبيلن Definisi : bilangan sepuluh kurang satu (9), ~ belas 19, ~ puluh 90, ~ ratus 900, bersembilan sembilan (orang dsb) bersama-sama sekali, sembilan (orang dsb) semuanya: kami ~ ditempatkan di sebuah rumah lain, kesembilan (peringkat, bilangan dsb) yg nombor sembilan: banjir ini adalah kali yg ~ berlaku di sini, dia merupakan anak yg ~ drpd sebelas orang adik beradik, kesembilan-sembilan semua seramai atau sebanyak sembilan (orang dsb) sekali: ~ anak­nya berhari raya di kampung pd tahun ini. (Kamus Dewan Edisi Keempat), [sem.bi.lan]  | سمبيلن Definisi : bilangan sepuluh kurang satu, 9: ~ belas 19, ~ puluh 90. bersembilan bersama-sama dlm kumpulan sembilan orang, sembilan jumlahnya: Mereka ~ telah pergi ke sana. kesembilan (peringkat, bilangan dsb) yg nombor sembilan: Dia mendapat tempat ~ dlm acara merentas desa. kesembilan-sembilan semuanya sembilan (orang dsb) serentak: ~ murid itu mendapat hadiah. (Kamus Pelajar Edisi Kedua)",,,,,,"nombor, angka, digit",,,,0.0,Neutral
arab,,"Definisi : 1. bangsa yg berasal dr semenanjung besar barat daya Asia, 2. bahasa yg dituturkan oleh bangsa ini, yg merupakan bahasa al-Quran, mengarabkan menjadikan atau menyebab­kan seseorang atau sesuatu mengikut atau bertukar kpd ciri (nilai, pengaruh dsb) Arab: kita tidak bermaksud hendak ~ bahasa Melayu, kearaban (yg) memperlihatkan ciri (penga­ruh dll) Arab: syair dagang, syair Burung Pingai, dll mempunyai isi yg ~. (Kamus Dewan Edisi Keempat)",,,,,,,,,,0.0,Neutral
fifa,,Definisi : akronim bagi Federation of International Football Associations (Persekutuan Bola Sepak Antarabangsa). (Kamus Dewan Edisi Keempat),,,,,,,,,,0.2630156278610229,Positive
maghribi,,"[magh.ri.bi]  | مغربي Definisi : Ar dr sebelah barat, termasuk sebelah barat (Moroko dll). (Kamus Dewan Edisi Keempat)",,,,,,,,"El_Aaium, Tangier, Casablanca","Mahgrib, Liga_Arab, Maghreb",-0.3135848641395569,Negative
induk,induk,"[in.du/]  | ايندوق Definisi : Mn 1. ibu (terutamanya binatang), emak: kambingnya ada sepuluh ekor, yg sudah jadi ~ tiga ekor, 2. ki yg terutama, yg besar, yg menjadi pokok (asal, punca, asas): kesalahan yg telah kaulakukan itu adalah ~ kpd segala macam kesalahan, ~ ayam a) ayam betina yg sudah beranak, b) ki orang yg penakut, ~ bangsa bangsa yg menjadi punca suku-suku bangsa, ~ beras (nasi) Mn isteri, ~ cuka ibu kaki, ~ hutang hutang yg asal (tidak bercampur dgn bunga), ~ jari (tangan) ibu jari, ~ kaki ibu kaki, ~ kalimat ayat besar yg menjadi pokok cerita (dlm ayat yg bersambung-sambung), ~ karangan karangan yg terutama dlm akhbar atau majalah, ~ madu sarang lebah, ~ pisang pokok pisang yg mula-mula ditanam, ~ roti ragi utk adunan roti, ~ rumah rumah ibu (bahagian yg besar atau bahagian tengah rumah), ~ semang a) orang perempuan yg mengambil orang lain utk menumpang di rumahnya, b) orang yg memberi pekerjaan atau barang-barang (utk dijual) kpd orang lain, ~ sutera sarang ulat sutera, ~ tentera pasukan yg terbesar (dlm gerakan perang), berindukkan mempunyai atau menganggap sesuatu sbg induk: contohnya, bahasa Latin dan bahasa Yunani yg ~ bahasa Indo-Eropah, perinduk, seperinduk semua yg berasal drpd satu ibu atau induk, sekeluarga. (Kamus Dewan Edisi Keempat), [in.du/]  | ايندوق Definisi : 1 ibu (terutamanya kpd binatang), emak: ~ ayam ayam betina yg telah mempunyai anak. 2 ki yg paling besar, yg terutama, yg paling penting: kapal ~ kapal perang yg besar yg mengangkut kapal terbang. (Kamus Pelajar Edisi Kedua)",kata nama,"bincang, kiasan","ibu, asal",,"perinduk, seperinduk","wanita, mama, ibunda",,,,0.0,Neutral
memperingati,ingat,"[mem.pe.ri.nga.ti]/[mem.per.i.nga.ti]  | ممڤرايڠتي Definisi : 1. mengenangkan sesuatu peristiwa dsb dgn perayaan (kenduri dll): perayaan itu diadakan kerana ~ hari tertubuhnya Malaysia, 2. mencatat, membuat peringatan (dlm buku dll), (Kamus Dewan Edisi Keempat), [mem.pe.ri.nga.ti]/[mem.per.i.nga.ti]  | ممڤرايڠتي Definisi : mengenang atau memuliakan sesuatu peristiwa dsb (dgn mengadakan sesuatu majlis dll): Tugu itu telah dibina utk ~ pahlawan-pahlawan negara. (Kamus Pelajar Edisi Kedua)",kata kerja,,"sedar, bercadang, fikir",,"beringat-ingat, mengingatkan, memperingati, memperingatkan, teringat-ingat, ingatan, ingat-ingatan, peringatan","tinjau-meninjau, melaporkan, menyuluhi","menegur, mengomel, kecemasan",,,-0.2518014907836914,Negative
mesyuarat,mesyuarat,"[me.syua.rat]  | مشوارت Definisi : perundingan (utk membincangkan sesuatu, atau mencapai sesuatu keputusan), pembicaraan, rapat, ~ agung perundingan besar (oleh sesuatu badan, persatuan, dll), bermesyuarat berunding, berapat, berbin­cang, berbicara: rakyat berhak berkumpul sama ada utk ~, bersuka ria atau bermua-fakat, memesyuaratkan sl membincangkan, me­rundingkan, membicarakan: baginda menyu-ruh panggil sekalian orang besar-besar ~ halnya itu, permesyuaratan perihal bermesyuarat, pe­rundingan, perbincangan, rapat: sistem politik Adat Perpatih mempunyai ciri yg khusus yg lebih banyak menekankan sistem ~ yg lebih hampir kpd sistem demokrasi, musyawarah. (Kamus Dewan Edisi Keempat), [me.syua.rat]  | مشوارت Definisi : rundingan utk membincangkan sesuatu atau utk mencari sesuatu ketetapan: ~ agung rundingan besar (oleh sesuatu persatuan, badan dll). bermesyuarat berbincang atau berunding ttg sesuatu hal atau utk mencapai sesuatu keputusan: Pegawai-pegawai tinggi telah ~ utk mengurangkan perbelanjaan dlm negeri. memesyuaratkan membincangkan sesuatu dlm mesyuarat, mengadakan mesyuarat ttg sesuatu, merundingkan: Perkara itu telah dimesyuaratkan. permesyuaratan perbuatan atau hal bermesyuarat, perundingan, perbincangan. (Kamus Pelajar Edisi Kedua)",kata nama,,perbincangan,,"bermesyuarat, memesyuaratkan, permesyuaratan","pemasangan, perhimpunan, perjumpaan","kongres, seminar, tuai",,,0.2634264528751373,Positive
kongres,,"[kong.grés]  | کوڠݢريس Definisi : (kongrés) mesyuarat besar wakil-wakil pertubuhan (politik, sosial, budaya, dsb) utk membincangkan sesuatu isu dsb: masalah memajukan bahasa Melayu, dan membaiki kedudukan ekonomi orang Melayu telah dibincangkan dlm beberapa ~ yg telah diadakan, berkongres mengadakan kongres: mereka ~ lagi utk membincangkan masalah lain pula. (Kamus Dewan Edisi Keempat), [kong.grés]  | کوڠݢريس Definisi : (kongrés) badan perundangan persekutuan di Amerika Syarikat yg terdiri drpd Dewan Rakyat dan Senat. (Kamus Dewan Edisi Keempat), [kong.grés]  | کوڠݢريس Definisi : /kongrés/ mesyuarat besar antara wakil-wakil pertubuhan dll utk membincangkan sesuatu: ~ Bahasa dan Persuratan Melayu Ketiga telah berlangsung pd tahun 1956. (Kamus Pelajar Edisi Kedua)",,,,,,"perhimpunan, perjumpaan, legislatif",,,,0.352165549993515,Positive
undian,undi,"[un.dian]  | اوندين Definisi : 1. sesuatu yg diundi, loteri, ~ wang loteri (wang), menarik ~ mendapat hadiah dlm undian wang dll, menang loteri, 2. hasil mengundi, pemilihan undi: pd hari ini, ter-paksalah wakil-wakil dilantik dgn ~ ramai, 3. ki cubaan (utk menentukan sesuatu), ujian, (Kamus Dewan Edisi Keempat), [un.dian]  | اوندين Definisi : suara (dlm sesuatu pilihan raya dll): Calon Barisan Nasional telah menang dgn kelebihan 3,600 ~. ~ percaya undi yg menunjukkan majoriti menyokong seseorang atau orang tertentu, spt pemimpin atau ketua. ~ pos undi yg dihantar melalui pos apabila pengundi berada di luar kawasan undi pilihan raya berkenaan. ~ sulit undi dlm pemilihan atau penentuan yg dilakukan secara sulit, biasanya dgn menandakan pilihan atau keputusan seseorang pd kertas undi. ~ tak percaya undi yg menunjukkan majoriti tidak menyokong seseorang atau orang tertentu, spt pemimpin atau ketua. (Kamus Pelajar Edisi Kedua)",,,,,"mengundi, undian, pengundian, pengundi",pemilihan,veto,,,0.0,Neutral
pautan,paut,"[pau.tan]  | ڤاءوتن Definisi : 1. hasil memaut (memegang dll), pegangan: mereka pun bersalam-salaman, penuh hormat dan mesra, kemudian ~ tangan mereka terurai, 2. tempat berpaut (berpegang dll), sesuatu yg dipaut: ia masih belum juga berhasil mencari tempat ~ atau tempat tambatannya, 3. hubungannya dgn, kaitannya dgn, 4. tempat menambatkan lembu dll, tempat mengikat ayam, 5. ki tempat asal, ayam pulang ke ~ prb sudah pd tempatnya, (Kamus Dewan Edisi Keempat), [pau.tan]  | ڤاءوتن Definisi : 1 tempat berpaut, pegangan: Amin terjatuh ke tanah setelah ~nya terlepas. 2 tempat memautkan (sesuatu): Kayu ~ lembu itu telah tercabut. 3 ist sambungan dlm sistem komunikasi. 4 ist alat yg menyambungkan atau merangkaikan dua unsur. 5 ist saluran data komunikasi dlm rangkaian komputer. 6 ist sambungan antara dua fail dlm rangkaian komputer. (Kamus Pelajar Edisi Kedua)",,,,,"berpaut, berpautan, berpaut-pautan, memaut, memautkan, terpaut, pautan",,,,,0.0,Neutral
sambutan,sambut,"[sam.bu.tan]  | سمبوتن Definisi : 1. penerimaan (ketibaan tetamu dll), cara-cara meraikan atau menyambut sesuatu (hari raya, tetamu, dll): bagaimana nanti ~ yg akan diterimanya kalau ia pergi ke sana? 2. perhatian (pandangan, anggapan, dll) terhadap sesuatu hal, reaksi: buku karangannya telah mendapat ~ yg baik drpd masyarakat, 3. jawaban terhadap cabaran (tentangan dll), balasan, perlawanan: cabaran itu mendapat ~ drpd orang-orang muda, 4. barang yg dibeli dgn bayarannya ditangguh-kan, barang yg diamanahkan utk dijual, ~ baik penerimaan baik, perkenanan, per-setujuan, ~ permaidani merah sambutan istimewa yg diberikan kpd tetamu kenamaan atau orang yg terkenal, biasanya ketibaannya disambut dgn hamparan permaidani merah, (Kamus Dewan Edisi Keempat), [sam.bu.tan]  | سمبوتن Definisi : 1 cara-cara meraikan ketibaan tetamu dll: Setibanya di bandar itu, beliau telah menerima ~ yg sangat meriah. 2 perhatian dll yg diberikan terhadap sesuatu hal: Buku karangannya tidak mendapat ~ yg memuaskan drpd masyarakat. (Kamus Pelajar Edisi Kedua)",,,,,"bersambut, bersambutan, bersambut-sambutan, menyambut, sambut-menyambut, sambutan, penyambutan, penyambut","perjumpaan, parti, akibatnya","parti, kepulangan, kenduri",,,0.0,Neutral
berasingan,,"[ber.a.sing.a.si.ngan]  | براسيڠن Definisi : , berasing-asingan tidak ber­satu (bercantum dsb), berlain-lainan, terpisah, berpisah-pisahan: kertas soalan itu terbahagi kpd dua bahagian yg ~, pemerintahan kedua-dua kawasan itu sekarang ~, tetapi masih ada perhubungan yg rapat antara kedua-duanya, (Kamus Dewan Edisi Keempat), [ber.a.sing.a.si.ngan]  | براسيڠن Definisi : berlainan, berbeza: Kedua-dua pemburu itu telah mengikut jalan yg ~. (Kamus Pelajar Edisi Kedua)",,,,,,"mengasingkan, berlainan, membeza-bezakan","menyisihkan, mengasingkan, menebat",,,0.0,Neutral
